latitude,longitude,title,thumbnail_url
44.2510,-116.9693,"Weiser, Idaho; Sturgeon in Snake River",https://github.com/Alexbezirjyan/DH151/blob/main/images/snake%20river.jpg?raw=true
40.0150,-105.2705,"Boulder, Colorodo; Brown Trout in Boulder Creek",https://github.com/Alexbezirjyan/DH151/blob/main/images/Boulder.png?raw=true
42.2808,-83.7430,"Ann Arbor, Michigan; Smallmouth in Local Ponds",https://github.com/Alexbezirjyan/DH151/blob/main/images/ann%20arbor.jpg?raw=true
52.9399,-106.4509,"Saskatchewan, Canada; Rainbow Trout in Firebag River",https://github.com/Alexbezirjyan/DH151/blob/main/images/SAS.jpg?raw=true
44.4280,-110.5885,"Yellowstone, Montana; Tiger Trout in Blacktail Creek",https://github.com/Alexbezirjyan/DH151/blob/main/images/blacktailcrek.jpg?raw=true
